Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,//login,5,0,6100.0,6502.791198599152,4182.6728169980925,8929.50547199871,146478.0,0.559810539889189,0.0,6100,8400,8400,8900,8900,8900,8900,8900,8900,8900,8900
,Aggregated,5,0,6100.0,6502.791198599152,4182.6728169980925,8929.50547199871,146478.0,0.559810539889189,0.0,6100,8400,8400,8900,8900,8900,8900,8900,8900,8900,8900
